C_n;Fai_n;e2(input);v2(output);e3;v3;e4;v4;e5;v5
0;0;5,48E+13;1,16E+14;1,32E+16;6,70E+13;9,06E+14;6,63E+13;9,66E+14;5,26E+13
0;0;3,47E+16;5,24E+14;4,20E+14;9,08E+13;4,17E+14;5,28E+13;1,73E+16;5,24E+13
0;0;1,69E+16;3,16E+14;1,03E+16;1,04E+14;1,10E+16;4,05E+13;3,47E+16;5,27E+13
0;0;9,53E+14;1,03E+14;1,56E+16;1,04E+14;9,59E+14;5,34E+13;8,36E+14;2,05E+13
0;0;1,12E+16;1,90E+14;2,40E+14;7,61E+13;9,48E+14;7,64E+13;1,63E+16;3,30E+13
0;0;1,50E+16;1,36E+14;7,77E+14;9,30E+13;1,64E+16;7,21E+13;8,40E+14;6,22E+12
0;0;1,85E+16;3,04E+14;1,50E+16;1,50E+14;5,26E+14;6,39E+13;1,58E+16;1,84E+13
0;0;1,28E+16;6,95E+13;1,38E+16;9,49E+13;1,65E+16;1,40E+14;1,35E+16;4,46E+13
0;0;2,59E+16;2,61E+14;3,66E+14;1,27E+14;6,07E+14;4,17E+13;1,13E+16;4,69E+13
0;0;8,87E+14;1,58E+14;1,47E+16;1,09E+14;4,07E+14;7,41E+13;2,08E+16;1,20E+13
0;0;6,90E+14;1,25E+14;1,77E+16;2,20E+14;4,47E+14;3,72E+13;1,07E+16;1,52E+13
0;0;9,70E+14;2,00E+14;1,99E+16;1,87E+14;1,00E+16;6,81E+13;2,46E+16;3,56E+13
0;0;1,31E+16;1,35E+14;1,37E+16;7,46E+13;1,22E+16;1,08E+14;1,34E+16;1,62E+13
0;0;4,67E+14;1,05E+14;1,70E+16;1,50E+14;1,22E+16;2,19E+13;1,57E+16;1,41E+13
0;0;8,78E+14;6,11E+13;1,39E+16;1,60E+14;1,02E+16;7,46E+13;2,79E+16;2,88E+13
0;0;1,17E+16;3,62E+14;1,14E+16;4,95E+13;1,30E+16;3,63E+13;8,20E+14;1,49E+13
0;0;1,65E+16;2,25E+14;7,08E+14;3,89E+13;1,23E+16;7,52E+13;5,91E+14;4,03E+13
0;0;1,78E+16;3,63E+14;7,35E+14;2,80E+13;4,04E+14;5,91E+13;1,11E+16;3,47E+13
0;0;1,68E+16;3,22E+14;1,43E+16;1,60E+14;7,43E+14;5,02E+13;3,60E+14;3,42E+13
0;0;1,71E+16;3,00E+14;1,06E+16;1,30E+14;1,63E+16;3,60E+13;1,06E+16;2,80E+13
0;0;1,50E+16;1,21E+14;2,21E+16;1,09E+14;1,31E+16;3,40E+13;1,31E+16;3,76E+13
0;0;1,18E+16;1,56E+14;1,90E+16;1,02E+14;2,18E+16;1,54E+14;1,77E+16;3,59E+13
0;0;1,50E+16;1,92E+14;1,45E+16;1,50E+14;4,52E+14;2,84E+13;1,80E+16;1,80E+13
0;0;3,51E+14;1,40E+14;1,10E+16;2,92E+14;1,41E+16;6,35E+13;1,51E+16;1,62E+13
0;0;5,67E+14;1,56E+14;1,16E+16;1,19E+14;1,08E+16;8,55E+13;4,46E+14;6,71E+12
0;0;9,44E+14;2,85E+14;1,73E+16;7,29E+13;9,60E+14;3,91E+13;6,23E+14;1,55E+13
0;0;4,86E+14;3,23E+13;8,19E+14;1,18E+14;5,36E+14;1,46E+13;7,92E+14;1,23E+13
0;0;1,20E+16;3,14E+14;2,95E+14;9,83E+13;4,21E+14;4,20E+13;2,59E+16;2,33E+13
0;0;1,78E+16;3,25E+14;8,56E+14;9,57E+13;8,69E+14;6,19E+13;2,15E+16;3,24E+13
0;0;5,06E+14;1,34E+14;1,02E+16;1,15E+14;1,42E+16;2,46E+13;1,35E+16;2,49E+13
0;0;8,98E+14;3,05E+14;1,72E+16;1,63E+14;6,45E+14;4,11E+13;1,27E+16;4,10E+13
0;0;4,49E+14;9,39E+13;7,18E+14;3,59E+13;1,56E+16;1,03E+14;9,08E+14;3,40E+13
0;0;1,48E+16;3,46E+14;1,45E+16;1,59E+14;1,44E+16;5,62E+13;2,08E+16;2,80E+13
0;0;7,56E+14;5,50E+13;7,42E+14;6,89E+13;3,60E+14;9,71E+13;9,04E+14;8,93E+12
0;0;4,43E+14;1,13E+14;3,67E+14;8,65E+13;7,66E+14;5,39E+13;1,24E+16;2,53E+13
0;0;1,10E+16;1,18E+14;7,80E+14;5,80E+13;8,53E+14;1,01E+14;2,75E+14;1,49E+13
0;0;2,78E+14;1,50E+14;6,06E+14;3,36E+13;1,37E+16;5,11E+13;1,55E+16;4,12E+13
0;0;2,48E+16;3,77E+14;2,24E+16;2,19E+14;1,73E+16;2,34E+13;1,92E+16;4,26E+13
0;0;1,72E+16;9,13E+13;1,56E+16;1,35E+14;3,26E+16;1,06E+14;1,20E+16;3,05E+13
0;0;1,08E+16;3,29E+14;1,16E+16;1,23E+14;3,15E+16;1,00E+14;1,27E+16;2,02E+13
0;0;1,82E+16;4,05E+14;8,47E+14;4,78E+13;2,82E+16;5,67E+13;2,07E+16;3,07E+13
0;0;3,97E+14;3,41E+13;2,35E+16;1,92E+14;1,50E+16;5,14E+13;1,34E+16;1,77E+13
0;0;9,35E+14;1,79E+14;1,05E+16;1,02E+14;1,03E+16;5,39E+13;2,37E+16;3,94E+13
0;0;1,40E+16;1,34E+14;1,38E+14;7,27E+13;1,02E+16;1,16E+14;6,55E+14;3,33E+13
0;0;5,27E+14;1,83E+14;1,92E+16;9,60E+13;5,79E+14;4,94E+13;6,34E+14;3,32E+13
0;0;1,04E+16;2,53E+14;6,99E+14;1,11E+14;1,18E+16;7,50E+13;1,97E+16;2,79E+13
0;0;2,47E+16;4,26E+14;1,46E+16;1,78E+14;1,91E+16;7,71E+13;1,77E+16;1,31E+13
0;0;1,57E+16;3,25E+14;2,27E+16;3,96E+14;8,41E+14;4,44E+13;2,28E+16;5,10E+13
0;0;2,50E+16;5,11E+14;1,96E+16;2,19E+14;5,82E+14;5,49E+13;6,75E+14;4,67E+13
0;0;1,66E+16;3,08E+14;1,13E+16;1,56E+14;1,46E+16;4,82E+13;1,82E+16;2,84E+13
0;0;1,56E+16;7,83E+13;1,63E+16;4,87E+13;1,48E+16;7,92E+13;1,26E+16;3,04E+13
0;0;7,87E+14;2,43E+14;5,22E+14;1,35E+14;1,25E+16;4,54E+13;7,91E+14;1,68E+13
0;0;1,05E+16;3,47E+13;6,04E+14;4,38E+13;6,19E+14;1,50E+13;2,95E+16;3,39E+13
0;0;1,37E+16;2,28E+14;1,44E+16;3,24E+14;2,24E+16;7,76E+13;1,11E+16;1,35E+13
0;0;1,57E+16;1,48E+14;1,88E+16;8,12E+13;6,50E+14;4,34E+13;1,63E+16;4,29E+13
