 C_n  Fai_n  e2(input)  v2(output)  e3  v3  e4  v4  e5  v5
   0.0000000000000000        0.0000000000000000        9.3403425023603520E-002   1.7317610660000000E-002   6.6490560471801047E-002   8.8926423510000008E-003   5.8740818841741101E-002   8.4382276510000000E-003  0.10810417855539843        6.8453696310000001E-003
   0.0000000000000000        0.0000000000000000       0.14630584405342248        1.7763302070000000E-002   7.3581349214632094E-002   9.6717373890000003E-003  0.11634054530514090        6.7511744949999997E-003   9.8829987273253497E-002   2.2959962740000000E-003
   0.0000000000000000        0.0000000000000000       0.15537727107387386        1.6770578170000001E-002   5.1613580852771027E-002   9.4531418879999999E-003   4.9014590501329121E-002   8.9615925130000001E-004   1.4236641012061967E-002   3.0971153729999999E-003
   0.0000000000000000        0.0000000000000000        8.1370503250553977E-002   1.7427576619999999E-002  0.11120674370311967        1.8531585730000001E-002  0.10402536414696772        1.4980777789999999E-003  0.14538328877849732        1.3656506700000001E-003
   0.0000000000000000        0.0000000000000000       0.12636988070967914        3.2026855129999997E-002   3.8515645254460586E-002   9.0058535390000003E-003  0.14512270858011161        8.5845722249999999E-003  0.16642528650794691        6.8505929969999999E-003
   0.0000000000000000        0.0000000000000000       0.14706875292305144        1.9041766799999998E-002   7.1122074617266717E-002   1.3423692870000000E-002   3.1701863168907975E-002   2.5430087920000001E-003  0.18659139812242820        5.2803552300000004E-003
   0.0000000000000000        0.0000000000000000       0.19630365797341987        4.2922165989999997E-002   8.5546170185516093E-002   7.7839740890000000E-003  0.11085473225094186        6.8985905470000004E-003  0.20483462503487987        5.1848908359999999E-004
   0.0000000000000000        0.0000000000000000       0.16798761118365885        2.4800650189999999E-002   7.2553355183858539E-002   2.8745415040000001E-003  0.13029768575946252        7.8974584229999992E-003  0.16451904315186075        2.3284931020000001E-003
   0.0000000000000000        0.0000000000000000        6.3261253940905177E-002   1.9445170580000001E-002   7.2590729248178609E-002   8.8318777640000005E-003  0.10587940046088720        6.1696467379999996E-003  0.21063685287896486        2.6149272479999998E-003
   0.0000000000000000        0.0000000000000000       0.13248316042535874        1.1985224859999999E-002   4.1389680766191900E-002   6.2213946599999998E-003   6.8566521303459790E-002   2.4580385070000002E-003  0.27572462095929873        3.6287326649999999E-003
   0.0000000000000000        0.0000000000000000       0.11993640302160001        1.1468062110000000E-002   6.9673508594775932E-002   1.2289211990000000E-002   9.0028263693204158E-002   5.5148593659999998E-003  0.12624883438625756        5.3598682049999999E-003
