C_n,Fai_n,e2(input),v2(output),e3,v3,e4,v4,e5,v5
0,0,0.169347599,3.16E-02,0.103446192,1.04E-02,0.109731104,4.05E-03,0.347182058,5.27E-03
0,0,9.53E-02,1.03E-02,0.156298939,1.04E-02,9.59E-02,5.34E-03,8.36E-02,2.05E-03
0,0,0.11160168,1.90E-02,2.40E-02,7.61E-03,9.48E-02,7.64E-03,0.163004225,3.30E-03
0,0,0.150111242,1.36E-02,7.77E-02,9.30E-03,0.164056311,7.21E-03,8.40E-02,6.22E-04
0,0,0.184952869,3.04E-02,0.149768242,1.50E-02,5.26E-02,6.39E-03,0.15832583,1.84E-03
0,0,0.128399286,6.95E-03,0.138405634,9.49E-03,0.164853142,1.40E-02,0.134781689,4.46E-03
0,0,0.258786114,2.61E-02,3.66E-02,1.27E-02,6.07E-02,4.17E-03,0.112621146,4.69E-03
0,0,8.87E-02,1.58E-02,0.147375512,1.09E-02,4.07E-02,7.41E-03,0.207839767,1.20E-03
0,0,6.90E-02,1.25E-02,0.1770202,2.20E-02,4.47E-02,3.72E-03,0.106716272,1.52E-03
0,0,9.70E-02,2.00E-02,0.199061969,1.87E-02,0.100182236,6.81E-03,0.24608345,3.56E-03
0,0,0.130923606,1.35E-02,0.137135784,7.46E-03,0.122322714,1.08E-02,0.134024575,1.62E-03
0,0,4.67E-02,1.05E-02,0.170245944,1.50E-02,0.121917076,2.19E-03,0.157278812,1.41E-03
0,0,8.78E-02,6.11E-03,0.138555701,1.60E-02,0.102000176,7.46E-03,0.278974555,2.88E-03
0,0,0.117008959,3.62E-02,0.114271001,4.95E-03,0.129855002,3.63E-03,8.20E-02,1.49E-03
0,0,0.165057794,2.25E-02,7.08E-02,3.89E-03,0.123011911,7.52E-03,5.91E-02,4.03E-03
0,0,0.17841231,3.63E-02,7.35E-02,2.80E-03,4.04E-02,5.91E-03,0.110947057,3.47E-03
0,0,0.168027804,3.22E-02,0.143036526,1.60E-02,7.43E-02,5.02E-03,3.60E-02,3.42E-03
0,0,0.170544149,3.00E-02,0.106338575,1.30E-02,0.163025501,3.60E-03,0.106408079,2.80E-03
0,0,0.149550997,1.21E-02,0.221050337,1.09E-02,0.130913467,3.40E-03,0.131004994,3.76E-03
0,0,0.117509953,1.56E-02,0.189916159,1.02E-02,0.218094732,1.54E-02,0.176668421,3.59E-03
