Column1;C_n;Fai_n;e2(input);v2(output);e3;v3;e4;v4;e5;v5
;0;0;1,21502E+16;3,28293E+14;2,25985E+16;8,10334E+13;1,55233E+16;8,17093E+13;2,61847E+16;5,58296E+13
;0;0;4,45308E+14;1,82467E+13;1,50918E+16;2,01652E+14;1,57087E+16;1,5146E+14;1,20351E+16;3,58937E+13
;0;0;1,64955E+16;3,47699E+14;5,81081E+14;1,22898E+14;6,6853E+14;2,32377E+13;1,97471E+16;3,63427E+13
;0;0;1,2765E+16;1,65659E+14;1,97014E+16;1,65979E+14;1,40546E+16;5,44888E+13;8,18974E+14;1,27681E+13
;0;0;5,80352E+14;1,50035E+13;2,51626E+16;1,77288E+14;2,0297E+16;1,01797E+14;6,43907E+14;3,28029E+13
;0;0;3,74832E+14;1,18277E+14;1,53867E+16;1,90553E+14;2,64497E+14;3,44537E+13;8,39599E+14;3,13282E+13
;0;0;1,43049E+16;2,74082E+14;1,50649E+16;5,32226E+13;3,02372E+14;5,69872E+13;2,01725E+16;5,97116E+13
;0;0;5,47643E+13;1,159E+14;1,31987E+16;6,69689E+13;9,06168E+14;6,63486E+13;9,65739E+14;5,26439E+13
;0;0;3,47181E+16;5,24294E+14;4,19807E+14;9,08438E+13;4,17434E+14;5,27902E+13;1,72744E+16;5,23833E+13
;0;0;1,69348E+16;3,15827E+14;1,03446E+16;1,04088E+14;1,09731E+16;4,05305E+13;3,47182E+16;5,27152E+13
;0;0;9,52818E+14;1,02955E+14;1,56299E+16;1,03659E+14;9,58742E+14;5,33782E+13;8,35605E+14;2,04913E+13
;0;0;1,11602E+16;1,90212E+14;2,39848E+14;7,61018E+13;9,48218E+14;7,64211E+13;1,63004E+16;3,30153E+13
;0;0;1,50111E+16;1,35576E+14;7,77433E+14;9,29703E+13;1,64056E+16;7,21326E+13;8,39642E+14;6,21703E+12
;0;0;1,84953E+16;3,03712E+14;1,49768E+16;1,4987E+14;5,26121E+14;6,3933E+13;1,58326E+16;1,84212E+13
;0;0;1,28399E+16;6,95075E+13;1,38406E+16;9,48679E+13;1,64853E+16;1,39796E+14;1,34782E+16;4,46373E+13
;0;0;2,58786E+16;2,60639E+14;3,65903E+14;1,26891E+14;6,06649E+14;4,16975E+13;1,12621E+16;4,68992E+13
;0;0;8,87105E+14;1,58374E+14;1,47376E+16;1,09409E+14;4,06766E+14;7,41461E+13;2,0784E+16;1,19558E+13
;0;0;6,90216E+14;1,24528E+14;1,7702E+16;2,19895E+14;4,46581E+14;3,72146E+13;1,06716E+16;1,52302E+13
;0;0;9,6998E+14;2,00193E+14;1,99062E+16;1,86505E+14;1,00182E+16;6,8053E+13;2,46083E+16;3,55599E+13
;0;0;1,30924E+16;1,35138E+14;1,37136E+16;7,46107E+13;1,22323E+16;1,08343E+14;1,34025E+16;1,62166E+13
;0;0;4,67357E+14;1,0545E+14;1,70246E+16;1,496E+14;1,21917E+16;2,18516E+13;1,57279E+16;1,41359E+13
;0;0;8,77925E+14;6,11032E+13;1,38556E+16;1,59608E+14;1,02E+16;7,45798E+13;2,78975E+16;2,87948E+13
;0;0;1,17009E+16;3,61753E+14;1,14271E+16;4,95044E+13;1,29855E+16;3,6289E+13;8,20185E+14;1,48901E+13
;0;0;1,65058E+16;2,24889E+14;7,08411E+14;3,89424E+13;1,23012E+16;7,51853E+13;5,91403E+14;4,03409E+13
;0;0;1,78412E+16;3,627E+14;7,35282E+14;2,79788E+13;4,03789E+14;5,91472E+13;1,10947E+16;3,47127E+13
;0;0;1,68028E+16;3,21911E+14;1,43037E+16;1,59878E+14;7,42776E+14;5,01992E+13;3,60303E+14;3,42398E+13
;0;0;1,70544E+16;3,00297E+14;1,06339E+16;1,30169E+14;1,63026E+16;3,60264E+13;1,06408E+16;2,79881E+13
;0;0;1,49551E+16;1,21006E+14;2,2105E+16;1,09032E+14;1,30913E+16;3,40355E+13;1,31005E+16;3,75633E+13
;0;0;1,1751E+16;1,56444E+14;1,89916E+16;1,02469E+14;2,18095E+16;1,53507E+14;1,76668E+16;3,58922E+13
;0;0;1,50293E+16;1,91941E+14;1,45374E+16;1,50053E+14;4,52377E+14;2,83688E+13;1,80432E+16;1,79578E+13
;0;0;3,51404E+14;1,40391E+14;1,09997E+16;2,92031E+14;1,41186E+16;6,3499E+13;1,51105E+16;1,62319E+13
;0;0;5,66685E+14;1,56039E+14;1,15669E+16;1,18522E+14;1,08415E+16;8,54824E+13;4,46132E+14;6,71373E+12
;0;0;9,43732E+14;2,85436E+14;1,73071E+16;7,28732E+13;9,59915E+14;3,9141E+13;6,23398E+14;1,54791E+13
;0;0;4,8625E+14;3,22799E+13;8,19179E+14;1,18315E+14;5,36124E+14;1,46425E+13;7,9214E+14;1,22772E+13
;0;0;1,20363E+16;3,13637E+14;2,95407E+14;9,83493E+13;4,20537E+14;4,20388E+13;2,58742E+16;2,33304E+13
;0;0;1,77907E+16;3,24912E+14;8,56159E+14;9,57401E+13;8,69174E+14;6,19037E+13;2,15359E+16;3,24071E+13
;0;0;5,05759E+14;1,34054E+14;1,0195E+16;1,15118E+14;1,41932E+16;2,46376E+13;1,34759E+16;2,48946E+13
;0;0;8,97992E+14;3,04964E+14;1,72263E+16;1,63311E+14;6,45452E+14;4,11452E+13;1,27336E+16;4,10133E+13
;0;0;4,48528E+14;9,38756E+13;7,17984E+14;3,58944E+13;1,55549E+16;1,03092E+14;9,07918E+14;3,39767E+13
;0;0;1,48145E+16;3,46132E+14;1,44936E+16;1,58808E+14;1,44161E+16;5,61896E+13;2,08315E+16;2,80476E+13
;0;0;7,55603E+14;5,50402E+13;7,41822E+14;6,88637E+13;3,59709E+14;9,71267E+13;9,04235E+14;8,93118E+12
;0;0;4,43392E+14;1,12543E+14;3,66797E+14;8,65036E+13;7,66174E+14;5,38941E+13;1,24183E+16;2,52797E+13
;0;0;1,09898E+16;1,18246E+14;7,8015E+14;5,79652E+13;8,52767E+14;1,00895E+14;2,75458E+14;1,49155E+13
;0;0;2,7798E+14;1,50159E+14;6,05978E+14;3,3561E+13;1,37233E+16;5,11088E+13;1,54697E+16;4,11938E+13
;0;0;2,47698E+16;3,77016E+14;2,2376E+16;2,18987E+14;1,72617E+16;2,34076E+13;1,92134E+16;4,25524E+13
;0;0;1,7197E+16;9,13215E+13;1,56051E+16;1,34555E+14;3,25753E+16;1,06469E+14;1,19752E+16;3,05278E+13
;0;0;1,07727E+16;3,28742E+14;1,15787E+16;1,23325E+14;3,146E+16;1,00214E+14;1,27499E+16;2,0248E+13
;0;0;1,82148E+16;4,04604E+14;8,4739E+14;4,77747E+13;2,82116E+16;5,66627E+13;2,07253E+16;3,06764E+13
;0;0;3,9668E+14;3,41196E+13;2,35264E+16;1,92365E+14;1,50069E+16;5,1411E+13;1,34258E+16;1,76618E+13
;0;0;9,3498E+14;1,79151E+14;1,05309E+16;1,01725E+14;1,03057E+16;5,39288E+13;2,37431E+16;3,93526E+13
;0;0;1,39691E+16;1,33816E+14;1,38017E+14;7,2728E+13;1,017E+16;1,1591E+14;6,54642E+14;3,32567E+13
;0;0;5,27236E+14;1,83285E+14;1,91895E+16;9,6042E+13;5,78611E+14;4,94112E+13;6,34032E+14;3,31877E+13
;0;0;1,03573E+16;2,52851E+14;6,99246E+14;1,10726E+14;1,17657E+16;7,49938E+13;1,96808E+16;2,78817E+13
;0;0;2,46928E+16;4,25566E+14;1,4617E+16;1,77656E+14;1,90829E+16;7,70983E+13;1,7686E+16;1,31046E+13
;0;0;1,56698E+16;3,25073E+14;2,26545E+16;3,95858E+14;8,40564E+14;4,43745E+13;2,27873E+16;5,10136E+13
;0;0;2,49703E+16;5,11272E+14;1,96157E+16;2,19106E+14;5,82039E+14;5,49318E+13;6,74677E+14;4,67071E+13
;0;0;1,65509E+16;3,082E+14;1,13304E+16;1,56456E+14;1,46428E+16;4,82414E+13;1,82325E+16;2,84102E+13
;0;0;1,55652E+16;7,83169E+13;1,6301E+16;4,87391E+13;1,47775E+16;7,91658E+13;1,25987E+16;3,04147E+13
;0;0;7,86841E+14;2,42811E+14;5,22195E+14;1,34814E+14;1,2466E+16;4,54241E+13;7,90794E+14;1,67745E+13
;0;0;1,05088E+16;3,47486E+13;6,04218E+14;4,37763E+13;6,1923E+14;1,49771E+13;2,94855E+16;3,3883E+13
;0;0;1,37341E+16;2,28163E+14;1,44478E+16;3,2352E+14;2,24396E+16;7,761E+13;1,10983E+16;1,34641E+13
;0;0;1,56654E+16;1,4785E+14;1,88459E+16;8,1162E+13;6,49519E+14;4,33661E+13;1,62611E+16;4,29399E+13
;0;0;1,75288E+16;1,32396E+14;1,35033E+16;1,41759E+14;8,27427E+14;1,73613E+13;1,48892E+16;6,77848E+12
;0;0;2,39994E+16;2,46518E+14;1,67034E+16;1,26992E+14;1,60025E+16;6,94173E+13;2,1822E+16;2,75236E+13
;0;0;1,24856E+16;5,0201E+13;1,19773E+16;1,29689E+14;1,25435E+16;4,03508E+13;1,28479E+16;8,94736E+12
;0;0;2,13576E+16;3,46372E+14;1,77298E+16;1,34866E+14;3,59568E+14;1,33538E+12;2,38893E+16;3,55581E+12
;0;0;1,50678E+16;3,37306E+14;2,39979E+16;1,69901E+14;2,08569E+16;8,06885E+13;6,67385E+14;3,02205E+13
;0;0;4,01681E+14;1,00125E+14;1,01216E+16;8,07198E+13;1,15042E+16;2,71401E+13;2,50823E+14;2,39961E+13
;0;0;1,41756E+16;1,38094E+14;9,63403E+14;1,78899E+14;9,97779E+14;2,56361E+13;8,00918E+14;1,58354E+13
;0;0;1,99719E+16;1,19025E+14;9,17762E+14;6,88339E+13;1,0477E+16;5,30395E+13;7,95483E+14;5,79497E+13
;0;0;1,36158E+16;2,45684E+14;9,49432E+14;9,83264E+13;1,04698E+16;1,87209E+13;8,00284E+14;4,10209E+13
;0;0;1,4628E+16;1,1526E+14;2,88762E+14;1,28445E+14;1,20549E+16;1,29002E+14;3,66113E+14;4,05629E+13
;0;0;4,42711E+14;2,38703E+14;6,78146E+14;1,20355E+14;1,04583E+16;3,36093E+13;8,99356E+14;3,93148E+13
;0;0;1,70494E+16;3,02548E+14;2,24665E+14;1,71777E+13;5,01474E+14;7,29234E+13;2,86335E+16;2,45007E+13
;0;0;7,11704E+14;7,28574E+13;5,20957E+14;5,54133E+13;1,59653E+14;5,46815E+13;1,21934E+16;5,2394E+12
;0;0;1,74298E+16;2,57715E+14;7,64021E+14;1,30881E+14;9,94713E+14;4,9348E+13;5,51976E+14;1,88686E+13
;0;0;1,44276E+16;2,72522E+14;9,45935E+14;1,3761E+14;9,82803E+14;6,7234E+13;1,31677E+14;1,64875E+13
;0;0;1,77183E+16;3,29997E+14;8,85946E+14;4,76514E+13;2,11154E+16;5,39371E+13;6,09109E+14;6,00474E+13
;0;0;2,26506E+16;4,04181E+14;1,97073E+16;1,12267E+14;1,51981E+16;1,3553E+14;1,55635E+16;1,80994E+13
;0;0;1,18691E+16;2,84262E+14;1,24699E+16;1,07704E+14;2,98926E+16;1,55755E+14;1,35573E+16;2,42333E+13
;0;0;7,33063E+14;8,14206E+13;1,59193E+16;1,36707E+14;1,5101E+16;9,70638E+13;2,40882E+14;3,27472E+13
;0;0;1,37218E+16;3,1425E+14;9,26241E+14;9,99029E+13;1,23573E+16;6,56803E+13;1,08128E+16;1,00051E+13
;0;0;9,70011E+14;2,02295E+14;1,59733E+16;1,22799E+14;1,7149E+16;6,27075E+13;1,12142E+16;3,27884E+13
;0;0;2,51683E+16;3,47017E+14;1,59097E+16;2,09729E+14;6,98098E+14;1,45337E+13;2,66467E+16;4,15546E+13
;0;0;1,2028E+16;2,7228E+14;2,23032E+14;1,36094E+14;1,77862E+16;2,42691E+13;1,84299E+16;4,29172E+13
